id,budget,revenue,release_year,keywords
60308,50000000,110206216,2011,based on novel
71859,7000000,6038942,2011,original
49950,16000000,40492759,2011,original
417859,130000000,554987477,2011,original
49517,30000000,0,2011,original
40805,120000000,227817248,2011,original
49022,35000000,59901913,2011,original
37430,90000000,48795021,2011,original
74018,0,0,2011,original
58233,45000000,160078586,2011,original
39538,60000000,135458097,2011,original
73937,41000000,7448385,2011,based on novel
38117,17000000,43165571,2011,original
55465,19000000,35387212,2011,original
60935,35000000,28128670,2011,original
59108,75000000,152930623,2011,original
62838,56000000,142044638,2011,original
38319,49900000,26121638,2011,original
56590,3500000,0,2011,original
89708,4000000,0,2011,original
63710,0,0,2011,original
50357,5000000,25562924,2011,original
58151,17000000,24922237,2011,original
65759,130000000,150406466,2011,original
41446,40000000,97138686,2011,original
50321,150000000,38992758,2011,original
59678,14350531,3964682,2011,original
60307,21000000,72417394,2011,original
64685,40000000,55247881,2011,original
59197,0,0,2011,original
50780,21000000,970816,2011,original
64639,25000000,10324441,2011,original
74534,10000000,136836156,2011,original
41513,110000000,563749323,2011,original
51999,0,908000,2011,original
50456,30000000,63782078,2011,original
70670,0,15699707,2011,original
85435,12468389,29007412,2011,original
64586,10000000,0,2011,original
49020,0,864659,2011,original
62046,5000000,3142154,2011,original
50839,3500000,19504039,2011,original
45772,36000000,189712432,2011,original
55846,15774948,741875,2011,original
52067,0,6861102,2011,original
65057,20000000,177243185,2011,original
50359,63000000,183953723,2011,original
23514,45000000,24000000,2011,original
68684,10000000,0,2011,original
67913,6000000,19560274,2011,original
59968,10000000,17273593,2011,original
63493,10000000,610986,2011,original
68817,24000000,63543328,2011,original
45156,0,1296937,2011,original
70578,36000000,9612469,2011,original
72113,25000000,27603069,2011,original
55420,100000,1776935,2011,original
10316,12500000,75993061,2011,original
38356,195000000,1123746996,2011,original
72571,5000000,205703818,2011,original
63207,13000000,0,2011,original
44564,70000000,67112664,2011,original
50725,19000000,6928068,2011,original
75802,0,9504139,2011,original
38753,15000000,0,2011,original
83899,0,14347000,2011,original
81390,4000000,25345000,2011,original
64328,45000000,165184237,2011,original
56288,27000000,85564310,2011,original
44945,9500000,120000,2011,original
69778,0,0,2011,original
38684,0,34710627,2011,original
49012,40000000,45735397,2011,original
65851,0,0,2011,original
49494,25000000,27122040,2011,original
57431,25000000,34942188,2011,original
63310,2000000,42070,2011,original
91550,0,0,2011,original
80591,15000000,868439,2011,original
83564,0,0,2011,original
79697,0,175706,2011,original
81250,0,0,2011,original
58428,750000,78396,2011,original
47760,8000000,163265,2011,original
79113,0,0,2011,original
101173,7700000,1072602,2011,original
88794,35000000,84606030,2011,original
48340,30000000,108609310,2011,original
70868,24000000,30551495,2011,original
48231,15000000,27462041,2011,original
43959,18000000,47088990,2011,based on novel
62206,28000000,40547440,2011,original
77949,4798235,209696,2011,original
57089,30000000,13521829,2011,original
74308,0,72689,2011,original
72912,0,0,2011,original
69735,0,0,2011,original
58443,7000000,0,2011,original
94363,0,0,2011,original
50601,20000000,17479,2011,original
71677,8000000,0,2011,original
55787,38000000,114156230,2011,original
69668,50000000,38502340,2011,original
55720,10000000,1759252,2011,original
59296,1,1378,2011,original
75622,12000000,972512,2011,original
50837,0,3538446,2011,original
64720,5000000,3099314,2011,original
51588,8000000,10130000,2011,original
76543,0,22321,2011,original
57276,4317946,14624826,2011,original
106938,0,0,2011,original
145316,0,0,2011,original
74626,0,0,2011,original
72213,1000000,34522221,2011,original
86812,0,0,2011,original
78080,0,0,2011,original
73567,10000000,3665069,2011,original
82424,0,0,2011,original
38322,32000000,83615414,2011,original
50698,1000000,0,2011,original
70584,350000,0,2011,original
65291,3500000,0,2011,original
50217,93,2500000,2011,original
74726,0,0,2011,original
62837,37000000,95404397,2011,original
60405,0,0,2011,original
81025,0,34564651,2011,original
77269,0,0,2011,original
55292,29000000,33662874,2011,original
65599,0,0,2011,original
80410,4500000,0,2011,original
51497,125000000,626137675,2011,original
71208,500000,0,2011,original
79777,10000000,303877,2011,original
71689,0,0,2011,original
73588,0,0,2011,original
85449,0,0,2011,original
57119,6600000,37710610,2011,original
65218,0,0,2011,original
92182,2000000,13101672,2011,original
51209,0,1188194,2011,original
65034,0,0,2011,original
9364,8000000,100915,2011,original
70196,0,0,2011,original
57586,0,15240456,2011,original
84355,125000,3200000,2011,original
93394,5000000,0,2011,original
59860,20000000,17425000,2011,original
55725,10831173,10654385,2011,original
63749,0,0,2011,original
83384,0,0,2011,original
70587,0,0,2011,original
50671,20000000,0,2011,original
44754,14000000,46495,2011,original
68818,0,623528,2011,original
54093,0,0,2011,original
73456,0,0,2011,original
103516,0,0,2011,original
76122,500000,0,2011,original
46221,135000,0,2011,original
91070,930000,30905,2011,original
51993,0,144633,2011,original
71688,13000000,114956699,2011,original
84226,0,0,2011,original
48572,4000000,1104682,2011,original
76535,500000,0,2011,original
62630,19100000,5728213,2011,original
78381,7000000,0,2011,original
74306,0,122550,2011,original
79931,0,0,2011,original
38543,25000000,0,2011,original
80038,0,12186625,2011,original
70006,3000000,0,2011,original
64288,0,664747,2011,original
65055,28000000,10126458,2011,original
73108,0,0,2011,original
62441,0,0,2011,original
49010,3000000,672648,2011,original
51017,25000000,53213633,2011,original
40161,0,0,2011,original
54445,0,0,2011,original
75074,0,0,2011,original
68450,0,0,2011,original
56780,15000000,4627375,2011,original
91549,0,3838,2011,original
70577,15000000,0,2011,original
53487,25000000,11790979,2011,original
77887,0,0,2011,original
66945,0,0,2011,original
66125,0,0,2011,original
57812,1000000,0,2011,original
82501,0,0,2011,original
75595,0,0,2011,original
76815,1000000,0,2011,original
45054,0,0,2011,original
73873,8000000,5634828,2011,original
79628,0,0,2011,original
54271,17000000,0,2011,original
72477,0,957240,2011,original
73686,0,5576725,2011,original
86593,0,0,2011,original
60302,1000000,0,2011,original
57353,25000000,0,2011,original
59006,1000000,0,2011,original
76420,0,0,2011,original
75720,0,0,2011,original
73933,0,0,2011,original
63139,0,0,2011,original
64678,0,1406224,2011,original
58882,134005,1332231,2011,original
75345,0,0,2011,original
81332,0,0,2011,original
74777,70000,0,2011,original
63513,0,0,2011,original
54320,500000,0,2011,original
73939,0,0,2011,original
77878,0,3759582,2011,original
73818,0,0,2011,original
93188,8978040,0,2011,original
54662,1000000,0,2011,original
70821,0,0,2011,original
60897,0,0,2011,original
66164,0,0,2011,original
84427,0,0,2011,original
67911,10000000,0,2011,original
51995,8000000,0,2011,original
79120,8000,469947,2011,original
61537,0,0,2011,original
74725,500000,171760,2011,original
60803,0,0,2011,original
54518,13000000,98441954,2011,original
69278,600000,0,2011,original
63197,0,0,2011,original
30618,25000000,0,2011,original
168210,15000000,0,2011,original
73958,0,0,2011,original
50081,0,7732325,2011,original
82914,1000000,0,2011,original
81167,0,0,2011,original
75190,0,0,2011,original
105945,4200000,0,2011,original
137145,650000,0,2011,original
58699,17000,101236,2011,original
82532,10000000,4417580,2011,original
76346,0,0,2011,original
38541,3000000,22000,2011,original
80530,0,0,2011,original
51994,0,1126525,2011,original
74945,0,0,2011,original
59726,0,0,2011,original
63579,0,0,2011,original
61348,0,0,2011,original
66150,45202,225861,2011,original
49538,160000000,344420111,2011,original
31880,0,0,2011,original
60170,0,0,2011,original
51996,0,790421,2011,original
79771,0,0,2011,original
79040,0,0,2011,original
81440,0,0,2011,original
54075,0,0,2011,original
59883,5000000,0,2011,original
80767,0,2550508,2011,original
82932,0,0,2011,original
89008,0,366377,2011,original
87178,0,0,2011,original
83896,0,0,2011,original
82743,0,0,2011,original
414419,30000000,0,2011,original
82685,0,0,2011,original
53776,0,0,2011,original
67675,9000000,18663238,2011,original
75964,0,0,2011,original
70574,0,0,2011,original
64854,0,0,2011,original
56906,0,0,2011,original
65058,0,223959,2011,original
63686,0,3100000,2011,original
82620,0,0,2011,original
56913,6800000,0,2011,original
83443,0,0,2011,original
77067,0,0,2011,original
70585,0,0,2011,original
62796,20,15,2011,original
89874,0,0,2011,original
77801,750000,0,2011,original
81330,0,0,2011,original
53101,0,0,2011,original
75301,0,286201,2011,original
70386,0,0,2011,original
61488,0,0,2011,original
86577,700000,0,2011,original
84170,0,0,2011,original
81185,0,0,2011,original
58492,0,621951,2011,original
66942,2902660,0,2011,original
80337,0,0,2011,original
83860,0,5355847,2011,original
127626,0,0,2011,original
202241,20000000,0,2011,original
67885,0,0,2011,original
81716,0,0,2011,original
125336,0,0,2011,original
91690,0,0,2011,original
145312,0,0,2011,original
72744,0,0,2011,original
70845,0,0,2011,original
86549,0,0,2011,original
121,79000000,926287400,2002,original
672,100000000,876688482,2002,original
425,59000000,383257136,2002,original
2501,60000000,214034224,2002,original
1576,33000000,102441078,2002,original
557,139000000,821708551,2002,original
1894,120000000,649398328,2002,original
640,52000000,352114312,2002,original
608,140000000,441818803,2002,original
423,35000000,120072577,2002,original
180,102000000,358372926,2002,original
11544,80000000,145771527,2002,original
4108,21000000,43928932,2002,original
7451,70000000,277448382,2002,original
9016,140000000,109578115,2002,based on novel
170,5000000,82719885,2002,original
7303,55000000,154906693,2002,original
36586,54000000,155010032,2002,original
3131,100000000,193772504,2002,original
4547,48000000,196397415,2002,original
10996,120000000,169956806,2002,original
11452,5000000,38275483,2002,original
65,41000000,215000000,2002,original
